model_type,variant,class_weight_strategy,stat,n_runs,n_features,n_train,n_val,val_acc_mean,val_acc_run_std,val_f1_macro_mean,val_f1_macro_run_std,cv_acc_mean,cv_acc_fold_std,cv_acc_run_std,cv_f1_macro_mean,cv_f1_macro_fold_std,cv_f1_macro_run_std
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,2,249,1444,362,0.6367,0.015199999999999991,0.44615000000000005,0.014350000000000002,0.6213,0.0275,0.00940000000000002,0.46950000000000003,0.020749999999999998,0.013999999999999985
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,YELLOWCARDS,2,249,1444,362,0.42405000000000004,0.004150000000000015,0.38354999999999995,0.002250000000000002,0.402,0.02385,0.002799999999999997,0.35995,0.0248,0.012249999999999983
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,CORNERS,2,135,1444,362,0.605,0.008299999999999974,0.37970000000000004,0.0012000000000000066,0.59825,0.02005,0.005250000000000032,0.39755,0.01755,0.005950000000000011
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,FOULS,2,135,1444,362,0.50965,0.02345,0.40064999999999995,0.018949999999999995,0.5039,0.0228,0.008300000000000002,0.39015,0.02865,0.005749999999999977
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,GOALS,2,135,1444,362,0.62985,0.011050000000000004,0.49724999999999997,0.004750000000000004,0.5839000000000001,0.0188,0.00030000000000002247,0.46714999999999995,0.01865,0.0017500000000000016
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,OFFSIDES,2,135,1444,362,0.4655,0.0068999999999999895,0.45185,0.003150000000000014,0.4759,0.01615,0.0014000000000000123,0.47204999999999997,0.0154,0.0016500000000000126
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,REDCARDS,2,135,1444,362,0.8535999999999999,0.005500000000000005,0.307,0.0010999999999999899,0.8447,0.010849999999999999,0.00029999999999996696,0.30525,0.00215,4.999999999999449e-05
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,2,135,1444,362,0.6837,0.0014000000000000123,0.44665,0.006149999999999989,0.65115,0.02835,0.006650000000000045,0.44645,0.02045,0.003950000000000009
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,YELLOWCARDS,2,135,1444,362,0.4558,0.002799999999999997,0.38195,0.015649999999999997,0.44605,0.030449999999999998,0.003049999999999997,0.36315,0.01665,0.003250000000000003
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,CORNERS,2,135,1444,362,0.5829,0.013799999999999979,0.40595000000000003,0.007849999999999996,0.5667,0.009899999999999999,0.009699999999999986,0.40475,0.01765,0.003049999999999997
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,2,135,1444,362,0.4848,0.009699999999999986,0.3876,0.007599999999999996,0.4784,0.0139,0.0039000000000000146,0.4083,0.013250000000000001,0.0008000000000000229
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,GOALS,2,135,1444,362,0.58425,0.026249999999999996,0.48955000000000004,0.004150000000000015,0.57805,0.01915,0.0005499999999999949,0.4962,0.01915,0.006099999999999994
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,OFFSIDES,2,135,1444,362,0.4779,0.016600000000000004,0.4691,0.015600000000000003,0.48009999999999997,0.016399999999999998,0.0032999999999999974,0.47665,0.0154,0.0026500000000000135
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,REDCARDS,2,135,1444,362,0.8163,0.034499999999999975,0.32475,0.018250000000000016,0.7885,0.0219,0.0032999999999999696,0.344,0.0263,0.004299999999999998
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,2,135,1444,362,0.6588499999999999,0.012450000000000017,0.46935,0.0005499999999999949,0.61685,0.025500000000000002,0.006650000000000045,0.46204999999999996,0.01635,0.005849999999999994
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,YELLOWCARDS,2,135,1444,362,0.42679999999999996,0.0068999999999999895,0.3726,0.010199999999999987,0.42469999999999997,0.02635,0.001700000000000007,0.37535,0.02065,0.003950000000000009
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,CORNERS,2,249,1444,362,0.5801000000000001,0.002799999999999969,0.44630000000000003,0.0066000000000000225,0.59135,0.02835,0.021050000000000013,0.42205000000000004,0.00975,0.00915000000000002
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,FOULS,2,249,1444,362,0.52205,0.011050000000000004,0.41895000000000004,0.014949999999999991,0.46404999999999996,0.0234,0.0038499999999999923,0.3711,0.0223,0.0022000000000000075
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,GOALS,2,249,1444,362,0.6243000000000001,0.00830000000000003,0.4595,0.0006000000000000172,0.5551,0.04285,0.02629999999999999,0.4484,0.0274,0.0116
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,OFFSIDES,2,249,1444,362,0.4724,0.005500000000000005,0.4612,0.006699999999999984,0.47425,0.01355,0.006350000000000022,0.46950000000000003,0.01225,0.0067000000000000115
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,REDCARDS,2,249,1444,362,0.8301000000000001,0.006899999999999962,0.34155,0.002150000000000013,0.8183499999999999,0.0154,0.0016499999999999848,0.33409999999999995,0.011,0.0022000000000000075
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,2,249,1444,362,0.62705,0.03315000000000001,0.44975,0.023549999999999988,0.64095,0.024050000000000002,0.006349999999999967,0.4607,0.02645,0.016900000000000026
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,YELLOWCARDS,2,249,1444,362,0.4475,0.005500000000000005,0.36905,0.014149999999999996,0.42915000000000003,0.0246,0.0005500000000000227,0.36845,0.0178,0.00035000000000001696
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,CORNERS,2,249,1444,362,0.5925499999999999,0.009649999999999992,0.43825000000000003,0.009849999999999998,0.58335,0.011550000000000001,0.004149999999999987,0.43295,0.0169,0.0034500000000000086
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,2,249,1444,362,0.5386500000000001,0.005549999999999999,0.4383,0.003500000000000003,0.4693,0.0271,0.0019000000000000128,0.40615,0.02475,0.005049999999999999
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,GOALS,2,249,1444,362,0.57185,0.0027499999999999747,0.49770000000000003,0.007100000000000023,0.55705,0.030350000000000002,0.014949999999999963,0.48685,0.0331,0.01185
