target,rank,model_type,variant,cv_rmse,cv_rmse_run_std,cv_rmse_fold_std,cv_mae,cv_mae_run_std,cv_rmse_pct,cv_mae_pct,val_rmse,val_mae,n_runs
HOME_CORNERS,14,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.981678,0.0,0.099208,2.374041,0.0,56.21,44.75,3.045473,2.440755,1
HOME_CORNERS,15,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.9817395,0.0020874999999997,0.096562,2.357844,0.0008159999999999,55.67,44.025,3.0854945,2.478067,2
HOME_CORNERS,16,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.98383,0.0016209999999998,0.0918765,2.3748875,0.0017044999999999,56.25,44.77,3.0970335,2.483545,2
HOME_CORNERS,17,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.985265,0.0004330000000001,0.0989434999999999,2.3734955,0.0002375000000001,55.735,44.315,3.124842,2.51501,2
HOME_CORNERS,18,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.985992,0.006294,0.082745,2.3719355,0.0070205,55.75,44.285,3.078537,2.495664,2
HOME_CORNERS,19,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.9988925,0.0201274999999998,0.0979785,2.3941475,0.0193665,55.995,44.7,3.1609185,2.5561905,2
HOME_CORNERS,20,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,3.000848,0.0,0.096488,2.393144,0.0,56.03,44.68,3.088251,2.507208,1
AWAY_CORNERS,1,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.576275,0.0,0.052036,1.989209,0.0,62.15,47.99,2.475012,1.949757,1
AWAY_CORNERS,2,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5767075,0.0084385,0.06094,1.99375,0.0060239999999999,62.155,48.095,2.4954455,1.955251,2
AWAY_CORNERS,3,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5817555,0.0044695000000001,0.0630339999999999,1.999792,0.001922,62.88,48.705,2.4863095,1.9509785,2
AWAY_CORNERS,4,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.582371,0.015538,0.0653245,2.010715,0.0135439999999998,62.895,48.97,2.4777205,1.952598,2
AWAY_CORNERS,5,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.583484,0.0,0.063715,2.006467,0.0,62.32,48.4,2.495084,1.963403,1
AWAY_CORNERS,6,xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.583851,0.0,0.058979,2.016216,0.0,62.93,49.11,2.493946,1.988087,1
AWAY_CORNERS,7,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_stage_sum,2.5852785,0.0044575,0.060457,2.013331,0.007954,62.97,49.035,2.4634555,1.947164,2
AWAY_CORNERS,8,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.587896,0.0015850000000001,0.054743,2.0046475,0.0045215,62.43,48.36,2.492323,1.949501,2
AWAY_CORNERS,9,lstm_mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.588741,0.010998,0.068338,2.0083465,0.0044374999999998,62.445,48.445,2.511483,1.9846845,2
AWAY_CORNERS,10,mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.589119,0.003263,0.071134,2.0105815,0.0047184999999998,63.06,48.965,2.4885905,1.953677,2
AWAY_CORNERS,11,xgb,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.590127,0.006083,0.062336,2.0257925,0.0003204999999999,63.085,49.34,2.4751245,1.965748,2
AWAY_CORNERS,12,xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,2.5904105,0.0043845,0.0529045,2.0180395,0.0027105,63.095,49.155,2.4899475000000004,1.973447,2
AWAY_CORNERS,13,lstm_mlp_multioutput_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5947,3.0999999999892225e-05,0.057366,2.0104355,0.0080145,62.59,48.495,2.5068675,1.9904245,2
AWAY_CORNERS,14,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_odds_raw_stage_sum,2.594831,0.0,0.066595,2.017853,0.0,63.2,49.15,2.486653,1.956565,1
AWAY_CORNERS,15,mlp_torch,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,2.5952845,0.0176555,0.057418,2.0205685,0.0161164999999998,63.21,49.215,2.496753,1.9611735,2
