model_type,variant,class_weight_strategy,stat,rank,cv_f1_macro_mean,cv_f1_macro_run_std,cv_f1_macro_fold_std,val_f1_macro_mean,val_f1_macro_run_std,n_runs
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,10,0.4620499999999999,0.0058499999999999,0.01635,0.46935,0.0005499999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,11,0.4607,0.0169,0.02645,0.44975,0.0235499999999999,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,12,0.4587,0.0014,0.02045,0.45375,0.00245,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,SHOTS_ON_TARGET,13,0.4579,0.0015,0.02095,0.47865,0.01025,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,SHOTS_ON_TARGET,14,0.45535,0.0049499999999999,0.0173499999999999,0.48535,0.01105,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,15,0.44655,0.0016499999999999,0.01265,0.44305,0.0045499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,16,0.44645,0.00395,0.02045,0.44665,0.0061499999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,17,0.4451,0.0064,0.0073,0.45285,0.00415,2
classifier_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,18,0.44375,0.0045499999999999,0.015,0.46255,0.00165,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,none,SHOTS_ON_TARGET,19,0.43935,0.0086499999999999,0.0234,0.45055,0.00345,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,none,SHOTS_ON_TARGET,20,0.43015,0.0039499999999999,0.0144,0.46115,0.00035,2
classifier_lstm_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,1,0.4268,0.0010999999999999,0.0206,0.4236499999999999,0.00775,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,2,0.41575,0.00235,0.03315,0.4633,0.0054,2
classifier_xgb,cform_diffmean_diffsum_form_mean_nplayers_raw_stage_sum,sqrt,FOULS,3,0.4114,0.0022999999999999,0.0265,0.4599,0.0017999999999999,2
classifier_lstm_mlp_multioutput,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,4,0.4083,0.0008,0.01325,0.3876,0.0075999999999999,2
classifier_mlp,cform_diffmean_diffsum_form_mean_nplayers_stage_sum,sqrt,FOULS,5,0.4076499999999999,0.00725,0.0223,0.4227,0.0055999999999999,2
